id,contract_nr,start_date,establishment_address_id,language_id,language,lang_short,establishment_name,GeenRefreshTrainingen,QGuardContractNummer,company_address,Landcode,Zipcode,lat,lon,refresh_hours,open_hours_not_linked_to_refresh,total_hours_to_perform,orig_consultant,lat_orig_consultant,lon_orig_consultant,coord,orig_distance,suggested_consultant_opt_1,suggested_consultant_lat_opt_1,suggested_consultant_lon_opt_1,distance_opt_1,suggested_consultant_opt_2,suggested_consultant_lat_opt_2,suggested_consultant_lon_opt_2,distance_opt_2
18,1021,2012-08-01,497,1,Nederlands,NL,Quality Guard testaccount,False,21.0,"Werkhuizenstraat 15, 8790 Waregem, België BE",BE,8790,50.9145518,3.2125282,6,0.0,6.0,,,,"(50.9145518, 3.2125282)",,Evelien Anseele,50.85164129996164,3.22606642611087,7.06309602565244,Evelien Anseele,50.85164129996164,3.22606642611087,7.06309602565244
229,205,2014-03-17,900160,1,Nederlands,NL,SF Priesteragie,False,247.0,"Azalealaan  6, 9100 Sint-Niklaas, België BE",BE,9100,51.162106,4.1545696,6,0.0,6.0,,,,"(51.162106, 4.1545696)",,Morgane Van Deun,51.17629349088398,4.395459826127067,16.922120964910473,Morgane Van Deun,51.17629349088398,4.395459826127067,16.922120964910473
270,350,2014-10-10,720,1,Nederlands,NL,De Burgerij Eilandje,False,289.0,"Sint-Laureiskaai 8, 2000 Antwerpen, België BE",BE,2000,51.2299578,4.4044607,6,0.0,6.0,,,,"(51.2299578, 4.4044607)",,Lore Van Minnebruggen,51.31983717125415,4.524763681955975,13.0561752320194,Lore Van Minnebruggen,51.31983717125415,4.524763681955975,13.0561752320194
431,1458,,900486,1,Nederlands,NL,Vollers Belgium,False,458.0,"Wilmarsdonksteenweg 33, 2030 Antwerpen, België BE",BE,2030,51.2634445,4.3825932,6,0.0,6.0,,,,"(51.2634445, 4.3825932)",,Lore Van Minnebruggen,51.31983717125415,4.524763681955975,11.735222776857462,Lore Van Minnebruggen,51.31983717125415,4.524763681955975,11.735222776857462
577,160,2014-02-20,900260,1,Nederlands,NL,Rusthuis de Noordhinder,False,3570.0,"Noordhinder 31, 8301 Knokke-Heist, België BE",BE,8301,51.3331078,3.2410679,6,0.0,6.0,,,,"(51.3331078, 3.2410679)",,Laura Vancoppernolle,51.33651705578859,3.232179111327944,0.7263672230061042,Laura Vancoppernolle,51.33651705578859,3.232179111327944,0.7263672230061042
581,269,2014-03-21,900264,1,Nederlands,NL,MPI De Hoge Kouter,False,,"Bad Godesberglaan 19, 8500 Kortrijk, België BE",BE,8500,50.8091593,3.2996368,6,1.5,7.5,,,,"(50.8091593, 3.2996368)",,Amber Ameel,50.82985622734787,3.253740568438496,3.9701150241722223,Amber Ameel,50.82985622734787,3.253740568438496,3.9701150241722223
582,282,2014-05-22,1180233,1,Nederlands,NL,WZC Polderparel,False,,"Westkapellestraat 460, 8300 Knokke-Heist, België BE",BE,8300,51.3143055,3.3000612,6,0.0,6.0,,,,"(51.3143055, 3.3000612)",,Laura Vancoppernolle,51.33651705578859,3.232179111327944,5.338166235590404,Laura Vancoppernolle,51.33651705578859,3.232179111327944,5.338166235590404
585,105,,900269,1,Nederlands,NL,Kinderdagverblijf Blydhove,False,,"Generaal Lemanlaan 145A, 8310 Assebroek, België BE",BE,8310,51.2022832,3.2441766,6,0.0,6.0,,,,"(51.2022832, 3.2441766)",,Laura Vancoppernolle,51.33651705578859,3.232179111327944,14.957431337230826,Laura Vancoppernolle,51.33651705578859,3.232179111327944,14.957431337230826
587,124,2014-01-23,900271,1,Nederlands,NL,Ter Helme,False,,"Kinderlaan 49, 8670 Oostduinkerke, België BE",BE,8670,51.1386675,2.7090845,6,0.0,6.0,,,,"(51.1386675, 2.7090845)",,Kenny Roosens,51.22759304598847,2.9667065396226504,20.551109633812537,Kenny Roosens,51.22759304598847,2.9667065396226504,20.551109633812537
597,167,2014-03-13,1178337,1,Nederlands,NL,Huize De Poel,False,,"Kerkeveldweg 100, 1640 Sint-Genesius-Rode, België BE",BE,1640,50.7332417,4.3257629,6,0.0,6.0,,,,"(50.7332417, 4.3257629)",,Amelie Duquenoy,50.82891933697963,3.286472739602788,74.06662762605559,KesselLo,50.887557225781265,4.745107232141418,34.18037228006116
599,192,2014-03-25,1182974,1,Nederlands,NL," Bakkerijmuseum Walter Plaetinck, Zuidgasthuishoev",False,,"Sint-Denisplaats 16, 8630 Veurne, België BE",BE,8630,51.0699448,2.6610828,6,0.0,6.0,,,,"(51.0699448, 2.6610828)",,Kenny Roosens,51.22759304598847,2.9667065396226504,27.657429959162993,Kenny Roosens,51.22759304598847,2.9667065396226504,27.657429959162993
600,162,2014-03-04,900287,1,Nederlands,NL,WZC Avondrust,False,,"de Manlaan 50 bus C, 8490 Jabbeke, België BE",BE,8490,51.2028294,3.1477014,6,0.0,6.0,,,,"(51.2028294, 3.1477014)",,Kenny Roosens,51.22759304598847,2.9667065396226504,12.943156033761996,Kenny Roosens,51.22759304598847,2.9667065396226504,12.943156033761996
618,432,2015-02-02,900312,1,Nederlands,NL,Campus Sint-Niklaas,False,,"Hogekouter 1, 9100 Sint-niklaas, België BE",BE,9100,51.1457582,4.1269474,6,0.0,6.0,,,,"(51.1457582, 4.1269474)",,Jonas Snoeck,50.88621451431353,3.4145345242630243,57.73137052126338,Morgane Van Deun,51.17629349088398,4.395459826127067,19.08833635045907
645,707,2016-03-15,900344,1,Nederlands,NL,Brood en Pasteibakkerij Au Croquant,False,596.0,"E. Lambrechtslaan  29, 1780 Wemmel, België BE",BE,1780,50.904453,4.3153069,6,0.0,6.0,,,,"(50.904453, 4.3153069)",,Amelie Duquenoy,50.82891933697963,3.286472739602788,72.9137204148752,Sophie Van Damme,51.13190685784751,4.486214997289168,28.00199366908583
646,708,2016-03-15,900348,1,Nederlands,NL,Au Croquant St.-Lambrechts-Woluwe,False,597.0,"Populierenhof 75, 1200 Sint-Lambrechts-Woluwe, België BE",BE,1200,50.8531346,4.4375453,6,0.0,6.0,,,,"(50.8531346, 4.4375453)",,Amelie Duquenoy,50.82891933697963,3.286472739602788,81.12234352173716,KesselLo,50.887557225781265,4.745107232141418,21.986282697056605
648,710,2016-03-15,900350,1,Nederlands,NL,Au Croquant St.-Pieters-Woluwe,False,599.0,"Vrijwilligerslaan 199, 1150 Sint-Pieters-Woluwe, België BE",BE,1150,50.8281554,4.4073061,6,0.0,6.0,,,,"(50.8281554, 4.4073061)",,Amelie Duquenoy,50.82891933697963,3.286472739602788,78.96882230577286,KesselLo,50.887557225781265,4.745107232141418,24.686115692757646
650,712,2016-03-15,900347,1,Nederlands,NL,Au Croquant Zaventem,False,601.0,"Vilvoordelaan 41, 1930 Zaventem, België BE",BE,1930,50.8875553,4.4706417,6,0.0,6.0,,,,"(50.8875553, 4.4706417)",,Sophie Van Damme,51.13190685784751,4.486214997289168,27.205698981811064,KesselLo,50.887557225781265,4.745107232141418,19.313363295010085
651,713,2016-03-15,900352,1,Nederlands,NL,Au Croquant Etterbeek,False,602.0,"Pervijzestraat 48, 1040 Etterbeek, België BE",BE,1040,50.8310697,4.4003498,6,0.0,6.0,,,,"(50.8310697, 4.4003498)",,Amelie Duquenoy,50.82891933697963,3.286472739602788,78.47659831409872,KesselLo,50.887557225781265,4.745107232141418,25.07445101836387
653,715,2016-03-15,900354,1,Nederlands,NL,Au Croquant Grimbergen,False,604.0,"Grimbergsesteenweg 170, 1853 Grimbergen, België BE",BE,1853,50.9120331,4.3561921,6,0.0,6.0,,,,"(50.9120331, 4.3561921)",,Amelie Duquenoy,50.82891933697963,3.286472739602788,75.86553282604577,Sophie Van Damme,51.13190685784751,4.486214997289168,26.106565588496572
655,717,2016-03-15,900356,1,Nederlands,NL,Au Croquant St.Lambrechts-Woluwe KR,False,606.0,"Koning Ridderlaan 43, 1200 Sint-Lambrechts-Woluwe, België BE",BE,1200,50.8440078,4.4173642,6,0.0,6.0,,,,"(50.8440078, 4.4173642)",,Amelie Duquenoy,50.82891933697963,3.286472739602788,79.68159708621509,KesselLo,50.887557225781265,4.745107232141418,23.5762274590849
